word,__sum_candidate,__sum_others,__total_candidate,__total_others,__ratio_candidate,__ratio_others,more_likely_candidate,more_likely_others,__sum_all,__total_all,__ratio_all
augusta,1.0,3.0,12571.0,110488.0,8e-05,3e-05,2.92971,0.34133,4.0,123059.0,0.32505
aula,4.0,2.0,12571.0,110488.0,0.00032,2e-05,17.57824,0.05689,6.0,123059.0,0.48757
aulas,1.0,8.0,12571.0,110488.0,8e-05,7e-05,1.09864,0.91022,9.0,123059.0,0.73136
aumenta,2.0,13.0,12571.0,110488.0,0.00016,0.00012,1.35217,0.73955,15.0,123059.0,1.21893
aumentaram,1.0,6.0,12571.0,110488.0,8e-05,5e-05,1.46485,0.68266,7.0,123059.0,0.56883
aumento,2.0,40.0,12571.0,110488.0,0.00016,0.00036,0.43946,2.27554,42.0,123059.0,3.413
ausência,6.0,4.0,12571.0,110488.0,0.00048,4e-05,13.18368,0.07585,10.0,123059.0,0.81262
autoestima,1.0,2.0,12571.0,110488.0,8e-05,2e-05,4.39456,0.22755,3.0,123059.0,0.24379
autonomia,3.0,14.0,12571.0,110488.0,0.00024,0.00013,1.88338,0.53096,17.0,123059.0,1.38145
autor,2.0,22.0,12571.0,110488.0,0.00016,0.0002,0.79901,1.25155,24.0,123059.0,1.95028
autoritarismo,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
autoritário,1.0,4.0,12571.0,110488.0,8e-05,4e-05,2.19728,0.45511,5.0,123059.0,0.40631
autorização,1.0,3.0,12571.0,110488.0,8e-05,3e-05,2.92971,0.34133,4.0,123059.0,0.32505
auxiliar,2.0,2.0,12571.0,110488.0,0.00016,2e-05,8.78912,0.11378,4.0,123059.0,0.32505
auxílio,1.0,32.0,12571.0,110488.0,8e-05,0.00029,0.27466,3.64087,33.0,123059.0,2.68164
avaliados,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
avaliação,1.0,4.0,12571.0,110488.0,8e-05,4e-05,2.19728,0.45511,5.0,123059.0,0.40631
avanço,2.0,13.0,12571.0,110488.0,0.00016,0.00012,1.35217,0.73955,15.0,123059.0,1.21893
avassaladora,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
avenida,1.0,7.0,12571.0,110488.0,8e-05,6e-05,1.25559,0.79644,8.0,123059.0,0.65009
avisou,1.0,2.0,12571.0,110488.0,8e-05,2e-05,4.39456,0.22755,3.0,123059.0,0.24379
ação,3.0,28.0,12571.0,110488.0,0.00024,0.00025,0.94169,1.06192,31.0,123059.0,2.51912
ações,2.0,46.0,12571.0,110488.0,0.00016,0.00042,0.38214,2.61687,48.0,123059.0,3.90057
bacana,4.0,7.0,12571.0,110488.0,0.00032,6e-05,5.02235,0.19911,11.0,123059.0,0.89388
bahia,6.0,16.0,12571.0,110488.0,0.00048,0.00014,3.29592,0.30341,22.0,123059.0,1.78776
baixa,3.0,15.0,12571.0,110488.0,0.00024,0.00014,1.75782,0.56889,18.0,123059.0,1.46271
baixas,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
baixo,1.0,16.0,12571.0,110488.0,8e-05,0.00014,0.54932,1.82043,17.0,123059.0,1.38145
balança,1.0,7.0,12571.0,110488.0,8e-05,6e-05,1.25559,0.79644,8.0,123059.0,0.65009
banca,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
bancada,1.0,13.0,12571.0,110488.0,8e-05,0.00012,0.67609,1.4791,14.0,123059.0,1.13767
banco,1.0,49.0,12571.0,110488.0,8e-05,0.00044,0.17937,5.57508,50.0,123059.0,4.06309
bancos,4.0,14.0,12571.0,110488.0,0.00032,0.00013,2.51118,0.39822,18.0,123059.0,1.46271
band,2.0,24.0,12571.0,110488.0,0.00016,0.00022,0.73243,1.36532,26.0,123059.0,2.11281
banda,1.0,5.0,12571.0,110488.0,8e-05,5e-05,1.75782,0.56889,6.0,123059.0,0.48757
bandeira,3.0,14.0,12571.0,110488.0,0.00024,0.00013,1.88338,0.53096,17.0,123059.0,1.38145
bandeiras,1.0,4.0,12571.0,110488.0,8e-05,4e-05,2.19728,0.45511,5.0,123059.0,0.40631
bandido,1.0,18.0,12571.0,110488.0,8e-05,0.00016,0.48828,2.04799,19.0,123059.0,1.54397
bandidos,2.0,13.0,12571.0,110488.0,0.00016,0.00012,1.35217,0.73955,15.0,123059.0,1.21893
barato,1.0,6.0,12571.0,110488.0,8e-05,5e-05,1.46485,0.68266,7.0,123059.0,0.56883
barbaridades,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
barbárie,1.0,5.0,12571.0,110488.0,8e-05,5e-05,1.75782,0.56889,6.0,123059.0,0.48757
barrar,1.0,8.0,12571.0,110488.0,8e-05,7e-05,1.09864,0.91022,9.0,123059.0,0.73136
barreiras,1.0,5.0,12571.0,110488.0,8e-05,5e-05,1.75782,0.56889,6.0,123059.0,0.48757
base,3.0,42.0,12571.0,110488.0,0.00024,0.00038,0.62779,1.59288,45.0,123059.0,3.65678
baseada,2.0,3.0,12571.0,110488.0,0.00016,3e-05,5.85941,0.17067,5.0,123059.0,0.40631
basta,1.0,22.0,12571.0,110488.0,8e-05,0.0002,0.39951,2.5031,23.0,123059.0,1.86902
bastante,2.0,3.0,12571.0,110488.0,0.00016,3e-05,5.85941,0.17067,5.0,123059.0,0.40631
batalha,1.0,9.0,12571.0,110488.0,8e-05,8e-05,0.97657,1.02399,10.0,123059.0,0.81262
