__ratio_all,__ratio_candidate,__ratio_others,__sum_all,__sum_candidate,__sum_others,__total_all,__total_candidate,__total_others,file,more_likely_candidate,more_likely_others,twitter_handle,word
1.46271,7e-05,0.00016999999999999999,18.0,2.0,16.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,0.38547,2.59426,alvarodias_,acidentes
3.6567800000000004,0.0003,0.00039,45.0,9.0,36.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,0.77093,1.29713,alvarodias_,acima
0.48757,0.0001,2.9999999999999997e-05,6.0,3.0,3.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,3.08373,0.32428,alvarodias_,acolhida
0.24379,2.9999999999999997e-05,2e-05,3.0,1.0,2.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,1.54186,0.64857,alvarodias_,acolhimento
1.2189299999999998,0.00013000000000000002,0.00011999999999999999,15.0,4.0,11.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,1.12135,0.8917799999999999,alvarodias_,acompanha
0.65009,0.0002,2e-05,8.0,6.0,2.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,9.25118,0.10809,alvarodias_,acompanhado
0.40631,7e-05,2.9999999999999997e-05,5.0,2.0,3.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,2.05582,0.48641999999999996,alvarodias_,acompanhando
1.62524,2.9999999999999997e-05,0.0002,20.0,1.0,19.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,0.1623,6.16138,alvarodias_,acompanhar
11.94549,0.00016999999999999999,0.0015300000000000001,147.0,5.0,142.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,0.10858,9.20964,alvarodias_,acompanhe
0.48757,7e-05,4e-05,6.0,2.0,4.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,1.54186,0.64857,alvarodias_,acompanhou
2.19407,0.0001,0.00026000000000000003,27.0,3.0,24.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,0.38547,2.59426,alvarodias_,acontece
1.62524,7e-05,0.00018999999999999998,20.0,2.0,18.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,0.34264,2.91855,alvarodias_,acontecendo
1.2189299999999998,0.0001,0.00013000000000000002,15.0,3.0,12.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,0.77093,1.29713,alvarodias_,acontecer
0.16252,2.9999999999999997e-05,1e-05,2.0,1.0,1.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,3.08373,0.32428,alvarodias_,acontecerá
1.7877599999999998,0.0001,0.0002,22.0,3.0,19.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,0.4869,2.0537900000000002,alvarodias_,aconteceu
0.16252,2.9999999999999997e-05,1e-05,2.0,1.0,1.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,3.08373,0.32428,alvarodias_,acontecimentos
0.24379,2.9999999999999997e-05,2e-05,3.0,1.0,2.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,1.54186,0.64857,alvarodias_,acorda
4.38814,0.00043,0.00044,54.0,13.0,41.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,0.97777,1.02274,alvarodias_,acordo
0.48757,0.0001,2.9999999999999997e-05,6.0,3.0,3.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,3.08373,0.32428,alvarodias_,acordos
1.7065,7e-05,0.0002,21.0,2.0,19.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,0.3246,3.08069,alvarodias_,acredita
0.97514,7e-05,0.00011,12.0,2.0,10.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,0.61675,1.62142,alvarodias_,acreditam
0.48757,0.0001,2.9999999999999997e-05,6.0,3.0,3.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,3.08373,0.32428,alvarodias_,acreditando
1.7877599999999998,0.00016999999999999999,0.00018,22.0,5.0,17.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,0.9069799999999999,1.10256,alvarodias_,acreditar
4.79445,0.0003,0.00054,59.0,9.0,50.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,0.55507,1.8015700000000001,alvarodias_,acredito
0.16252,2.9999999999999997e-05,1e-05,2.0,1.0,1.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,3.08373,0.32428,alvarodias_,acrescentar
0.24379,7e-05,1e-05,3.0,2.0,1.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,6.16745,0.16214,alvarodias_,acumula
0.40631,7e-05,2.9999999999999997e-05,5.0,2.0,3.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,2.05582,0.48641999999999996,alvarodias_,acusado
0.5688300000000001,0.00013000000000000002,2.9999999999999997e-05,7.0,4.0,3.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,4.11163,0.24320999999999998,alvarodias_,acusar
